benchmark_name,benchmark_category,dataset,score,ci,time_taken,noise_dataset,reference_dataset
Hubert,1,gpt_sovits.tar.gz,87.792326770266910785,1.0,475.9783847332001,esc50.tar.gz,speech_libritts_r_test.tar.gz
Hubert,1,melotts.tar.gz,87.23775537868181118,1.0,157.8394637107849,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,metavoice.tar.gz,91.13783992581281268,1.0,157.95253252983093,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,openvoice.tar.gz,90.86185584884675848,1.0,121.71643805503844,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,openvoice_v2.tar.gz,89.011542235016491986,1.0,108.5683388710022,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,parler.tar.gz,94.498355158466580406,1.0,127.2168619632721,esc50.tar.gz,speech_libritts_r_test.tar.gz
Hubert,1,styletts_2.tar.gz,92.13171373752604154,1.0,146.56928539276123,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,vokan.tar.gz,88.198823390018645796,1.0,144.5150511264801,esc50.tar.gz,speech_libritts_r_test.tar.gz
Hubert,1,whisper_speech.tar.gz,89.12258234545987534,1.0,152.43144941329956,esc50.tar.gz,speech_libritts_test.tar.gz
Hubert,1,xtts_v2.tar.gz,89.81385869173477943,1.0,122.8081555366516,esc50.tar.gz,speech_libritts_test.tar.gz
HubertToken,1,gpt_sovits.tar.gz,66.39400799759471283,1.0,324.426064491272,noise_normal_distribution.tar.gz,speech_libritts_test.tar.gz
HubertToken,1,melotts.tar.gz,70.672843683109206836,1.0,48.59640622138977,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,1,metavoice.tar.gz,71.738789536754794085,1.0,45.426193952560425,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,1,openvoice.tar.gz,82.28430701378709955,1.0,39.59419918060303,noise_uniform_distribution.tar.gz,speech_blizzard2013.tar.gz
HubertToken,1,openvoice_v2.tar.gz,73.495471774555554134,1.0,35.99109888076782,noise_normal_distribution.tar.gz,speech_blizzard2013.tar.gz
